DATA;Longitude;Latitude;TSRED;OPAD;WIATR;SOLAR
2001-11-23;20.9375;52.2983017;2.449;2.89421046;4.889749109;1.63828098
2001-11-24;20.9375;52.2983017;0.7915;4.64687843;4.826966806;2.4425442
2001-11-25;20.9375;52.2983017;-0.944;0.650596874;4.552069127;2.5892406
2001-11-26;20.9375;52.2983017;-1.357;4.581638813;2.494500808;1.72198224
2001-11-27;20.9375;52.2983017;-2.011;0.07553101;1.565348665;2.941707168
2001-11-28;20.9375;52.2983017;-1.6295;2.104568129;3.321989036;2.365705008
2001-11-29;20.9375;52.2983017;0.126;2.595519288;1.201825088;1.334925
2001-11-30;20.9375;52.2983017;-1.289;0.39825432;2.845857575;1.751456088
2001-12-01;20.9375;52.2983017;-2.887;0.492668208;2.931925203;1.72338768
2001-12-02;20.9375;52.2983017;-0.449;0.551033064;2.700088798;1.270968768
2001-12-03;20.9375;52.2983017;-0.8375;0.670338072;3.389725263;1.39955508
2001-12-04;20.9375;52.2983017;-3.9435;1.024819992;4.619701883;1.74965634
2001-12-05;20.9375;52.2983017;-2.6555;0.82397466;3.866411584;0.84386205
2001-12-06;20.9375;52.2983017;-3.4055;1.133824572;3.69712089;1.25488125
2001-12-07;20.9375;52.2983017;-7.302;0.018024444;2.328863922;3.1520781
2001-12-08;20.9375;52.2983017;-7.849;0.017166132;1.471889445;2.91830256
2001-12-09;20.9375;52.2983017;-8.4755;0.082397506;1.401269446;2.59976448
2001-12-10;20.9375;52.2983017;-4.333;2.43759114;3.265785345;0.47210589
2001-12-11;20.9375;52.2983017;-2.9125;0.525283956;1.511488708;1.59024429
2001-12-12;20.9375;52.2983017;-6.335;1.819610316;4.005185429;1.33672482
